periodicity,periodicity_label.value,seasonadj,seasonadj_label.value,geo_level,geo_level_label.value,geography,geography_label.value,ind_level,industry,industry_label.value,ownercode,ownercode_label.value,sex,sex_label.value,agegrp,agegrp_label.value,race,race_label.value,ethnicity,ethnicity_label.value,education,education_label.value,firmage,firmage_label.value,firmsize,firmsize_label.value,year,quarter,EarnS,Emp,EmpTotal,sEarnS,sEmp,sEmpTotal
Q,Quarterly data,U,Not seasonally adjusted,S,States,13,Georgia,3,111,Crop Production,A05,All Private,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2011,1,1766,7402,9732,1,1,1
Q,Quarterly data,U,Not seasonally adjusted,S,States,13,Georgia,3,112,Animal Production and Aquaculture,A05,All Private,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2011,1,2241,3701,4224,1,1,1
Q,Quarterly data,U,Not seasonally adjusted,S,States,13,Georgia,3,113,Forestry and Logging,A05,All Private,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2011,1,3378,4963,5662,1,1,1
Q,Quarterly data,U,Not seasonally adjusted,S,States,13,Georgia,3,114,"Fishing, Hunting and Trapping",A05,All Private,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2011,1,2244,306,347,1,1,1
Q,Quarterly data,U,Not seasonally adjusted,S,States,13,Georgia,3,115,Support Activities for Agriculture and Forestry,A05,All Private,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2011,1,2615,4145,5590,1,1,1
Q,Quarterly data,U,Not seasonally adjusted,S,States,13,Georgia,3,211,Oil and Gas Extraction,A05,All Private,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2011,1,6518,,,1,5,5
Q,Quarterly data,U,Not seasonally adjusted,S,States,13,Georgia,3,212,Mining (except Oil and Gas),A05,All Private,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2011,1,4901,4118,4279,1,1,1
Q,Quarterly data,U,Not seasonally adjusted,S,States,13,Georgia,3,213,Support Activities for Mining,A05,All Private,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2011,1,11649,301,330,1,1,1
Q,Quarterly data,U,Not seasonally adjusted,S,States,13,Georgia,3,221,Utilities,A05,All Private,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2011,1,7501,18368,19590,1,1,1
Q,Quarterly data,U,Not seasonally adjusted,S,States,13,Georgia,3,236,Construction of Buildings,A05,All Private,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2011,1,4618,29681,37484,1,1,1
