periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,EarnS,EmpTotal,sEarnS,sEmpTotal,version
Q,U,S,30,S,11,A05,0,A00,A0,A0,E0,0,0,2011,1,2301,5041,1,1,QWI_F MT 30 1993:1-2021:4 V4.9.0 R2022Q3 qwipu_mt_20220815_1450
Q,U,S,30,S,21,A05,0,A00,A0,A0,E0,0,0,2011,1,7044,7917,1,1,QWI_F MT 30 1993:1-2021:4 V4.9.0 R2022Q3 qwipu_mt_20220815_1450
Q,U,S,30,S,22,A05,0,A00,A0,A0,E0,0,0,2011,1,6835,3365,1,1,QWI_F MT 30 1993:1-2021:4 V4.9.0 R2022Q3 qwipu_mt_20220815_1450
Q,U,S,30,S,23,A05,0,A00,A0,A0,E0,0,0,2011,1,2863,23909,1,1,QWI_F MT 30 1993:1-2021:4 V4.9.0 R2022Q3 qwipu_mt_20220815_1450
Q,U,S,30,S,31-33,A05,0,A00,A0,A0,E0,0,0,2011,1,3605,18429,1,1,QWI_F MT 30 1993:1-2021:4 V4.9.0 R2022Q3 qwipu_mt_20220815_1450
Q,U,S,30,S,42,A05,0,A00,A0,A0,E0,0,0,2011,1,4038,16800,1,1,QWI_F MT 30 1993:1-2021:4 V4.9.0 R2022Q3 qwipu_mt_20220815_1450
Q,U,S,30,S,44-45,A05,0,A00,A0,A0,E0,0,0,2011,1,2029,61155,1,1,QWI_F MT 30 1993:1-2021:4 V4.9.0 R2022Q3 qwipu_mt_20220815_1450
Q,U,S,30,S,48-49,A05,0,A00,A0,A0,E0,0,0,2011,1,3050,11833,1,1,QWI_F MT 30 1993:1-2021:4 V4.9.0 R2022Q3 qwipu_mt_20220815_1450
Q,U,S,30,S,51,A05,0,A00,A0,A0,E0,0,0,2011,1,3319,8013,1,1,QWI_F MT 30 1993:1-2021:4 V4.9.0 R2022Q3 qwipu_mt_20220815_1450
Q,U,S,30,S,52,A05,0,A00,A0,A0,E0,0,0,2011,1,4261,15805,1,1,QWI_F MT 30 1993:1-2021:4 V4.9.0 R2022Q3 qwipu_mt_20220815_1450
Q,U,S,30,S,53,A05,0,A00,A0,A0,E0,0,0,2011,1,2270,5808,1,1,QWI_F MT 30 1993:1-2021:4 V4.9.0 R2022Q3 qwipu_mt_20220815_1450
Q,U,S,30,S,54,A05,0,A00,A0,A0,E0,0,0,2011,1,3977,21102,1,1,QWI_F MT 30 1993:1-2021:4 V4.9.0 R2022Q3 qwipu_mt_20220815_1450
Q,U,S,30,S,55,A05,0,A00,A0,A0,E0,0,0,2011,1,3993,2471,1,1,QWI_F MT 30 1993:1-2021:4 V4.9.0 R2022Q3 qwipu_mt_20220815_1450
Q,U,S,30,S,56,A05,0,A00,A0,A0,E0,0,0,2011,1,2175,23183,1,1,QWI_F MT 30 1993:1-2021:4 V4.9.0 R2022Q3 qwipu_mt_20220815_1450
Q,U,S,30,S,61,A05,0,A00,A0,A0,E0,0,0,2011,1,2048,5365,1,1,QWI_F MT 30 1993:1-2021:4 V4.9.0 R2022Q3 qwipu_mt_20220815_1450
Q,U,S,30,S,62,A05,0,A00,A0,A0,E0,0,0,2011,1,3093,65364,1,1,QWI_F MT 30 1993:1-2021:4 V4.9.0 R2022Q3 qwipu_mt_20220815_1450
Q,U,S,30,S,71,A05,0,A00,A0,A0,E0,0,0,2011,1,1436,12034,1,1,QWI_F MT 30 1993:1-2021:4 V4.9.0 R2022Q3 qwipu_mt_20220815_1450
Q,U,S,30,S,72,A05,0,A00,A0,A0,E0,0,0,2011,1,1185,50661,1,1,QWI_F MT 30 1993:1-2021:4 V4.9.0 R2022Q3 qwipu_mt_20220815_1450
Q,U,S,30,S,81,A05,0,A00,A0,A0,E0,0,0,2011,1,2006,17850,1,1,QWI_F MT 30 1993:1-2021:4 V4.9.0 R2022Q3 qwipu_mt_20220815_1450
Q,U,S,30,S,11,A05,0,A00,A0,A0,E0,0,0,2011,2,2332,5931,1,1,QWI_F MT 30 1993:1-2021:4 V4.9.0 R2022Q3 qwipu_mt_20220815_1450
Q,U,S,30,S,21,A05,0,A00,A0,A0,E0,0,0,2011,2,6124,8627,1,1,QWI_F MT 30 1993:1-2021:4 V4.9.0 R2022Q3 qwipu_mt_20220815_1450
Q,U,S,30,S,22,A05,0,A00,A0,A0,E0,0,0,2011,2,6307,3499,1,1,QWI_F MT 30 1993:1-2021:4 V4.9.0 R2022Q3 qwipu_mt_20220815_1450
Q,U,S,30,S,23,A05,0,A00,A0,A0,E0,0,0,2011,2,3359,30859,1,1,QWI_F MT 30 1993:1-2021:4 V4.9.0 R2022Q3 qwipu_mt_20220815_1450
Q,U,S,30,S,31-33,A05,0,A00,A0,A0,E0,0,0,2011,2,3590,19120,1,1,QWI_F MT 30 1993:1-2021:4 V4.9.0 R2022Q3 qwipu_mt_20220815_1450
Q,U,S,30,S,42,A05,0,A00,A0,A0,E0,0,0,2011,2,3847,17693,1,1,QWI_F MT 30 1993:1-2021:4 V4.9.0 R2022Q3 qwipu_mt_20220815_1450
Q,U,S,30,S,44-45,A05,0,A00,A0,A0,E0,0,0,2011,2,2157,65031,1,1,QWI_F MT 30 1993:1-2021:4 V4.9.0 R2022Q3 qwipu_mt_20220815_1450
Q,U,S,30,S,48-49,A05,0,A00,A0,A0,E0,0,0,2011,2,3091,12626,1,1,QWI_F MT 30 1993:1-2021:4 V4.9.0 R2022Q3 qwipu_mt_20220815_1450
Q,U,S,30,S,51,A05,0,A00,A0,A0,E0,0,0,2011,2,3453,8223,1,1,QWI_F MT 30 1993:1-2021:4 V4.9.0 R2022Q3 qwipu_mt_20220815_1450
